排名,CPU,TDP,实际频率,核心,线程,L2,L3
1,AMD Ryzen Threadripper 2970WX,250,3000,24,48,12MB , 64M
2,AMD Ryzen Threadripper 2950X,180,3500,16,32,8MB , 32MB
3,AMD Ryzen Threadripper 1950X,180,3400,16,32,8MB , 32MB
4,AMD Ryzen Threadripper 2920X,180,3500,12,24,6MB , 32MB
5,Intel Core i9-9900K,95,3600,8,16,2MB , 16MB
6,Intel Core i9-9980HK,45,2400,8,16,2MB , 16MB
7,Intel Core i9-7900X,140,3300,10,20,10MB ,13MB
8,Intel Xeon W-2145,140,3700,8,16,8MB , 11MB
9,Intel Core i9-9880H,45,2300,8,16,2MB , 16MB
10,Intel Core i7-6950X,120,3000,10,20,2.5MB ,25MB
11,Intel Core i7-9700K,95,3600,8,8,2MB , 16MB
12,Intel Core i7-9850H,45,2600,6,12,1.5MB , 9M
13,Intel Core i7-8086K,95,3700,6,12,1.5MB ,12MB
14,Intel Core i7-8700K,95,3700,6,12,1.5MB ,12MB
15,Intel Core i7-9750H,45,2600,6,12,1.5MB , 9M
16,AMD Ryzen 7 2700X,105,3700,8,16,4MB , 16MB
17,Intel Core i9-8950HK,45,2900,6,12,1.5MB ,12MB
18,Intel Xeon E-2186M,45,2900,6,12,1.5MB ,12MB
19,Intel Xeon E-2176G,80,3700,6,12,1.5MB ,12MB
20,Intel Core i7-8700,65,3200,6,12,1.5MB ,12MB
21,AMD Ryzen 7 2700,65,3200,8,16,4MB , 16MB
22,AMD Ryzen 7 1800X,95,3600,8,16,4MB , 16MB
23,AMD Ryzen 7 1700X,95,3400,8,16,4MB , 16MB
24,Intel Xeon E5-2680 v4,120,2400,14,28,3.5MB ,35MB
25,Intel Xeon E5-2697 v2,130,2700,12,24,3MB , 30MB
26,Intel Core i5-9600K,95,3700,6,6,1.5MB , 9M
27,Intel Xeon E-2176M,45,2700,6,12,1.5MB ,12MB
28,Intel Core i7-8850H,45,2600,6,12,1.5MB , 9M
29,Intel Core i7-7740X,112,4300,4,8,1MB , 8MB
30,Intel Core i5-8600K,95,3600,6,6,1.5MB , 9M
31,Intel Core i7-7700K,91,4200,4,8,1MB , 8MB
32,Intel Core i5-8500,65,3000,6,6,1.5MB , 9M
33,Intel Core i7-8750H,45,2200,6,12,1.5MB , 9M
34,Intel Core i5-8400,65,2800,6,6,1.5MB , 9M
35,Intel Core i7-5960X,140,3000,8,16,2MB , 20MB
36,AMD Ryzen 7 1700,65,3000,8,16,4MB , 16MB
37,AMD Ryzen 5 2600X,95,3600,6,12,4MB , 16MB
38,AMD Ryzen 5 2600,65,3400,6,12,4MB , 16MB
39,Intel Core i5-8500T,35,2100,6,6,1.5MB , 9M
40,Intel Core i7-4960X,130,3600,6,12,1.5MB ,15MB
41,Intel Core i7-7700,65,3600,4,8,1MB , 8MB
42,Intel Core i7-6700K,91,4000,4,8,1MB , 8MB
43,Intel Xeon E5-2680,130,2700,8,16,2MB , 20MB
44,Intel Core i7-3960X,130,3300,6,12,1.5MB ,15MB
45,Intel Core i7-8809G,100,3100,4,8,1MB , 8MB
46,Intel Core i7-4790K,88,4000,4,8,1MB , 8MB
47,Intel Core i5-9400H,45,2500,4,8,1MB , 8MB
48,AMD Ryzen 5 1600,65,3200,6,12,3MB , 16MB
49,Intel Xeon E3-1280 v5,80,3700,4,8,1MB , 8MB
50,Intel Core i7-6700,65,3400,4,8,1MB , 8MB
51,Intel Xeon E3-1535M v6,45,3100,4,8,1MB , 8MB
52,Intel Core i5-8400H,45,2500,4,8,1MB , 8MB
